ImageIndex,GlobalAngle,PixelY
4.941,74.12,2304
4.945,74.18,2302
4.949,74.24,2300
4.953,74.30,2298
4.957,74.36,2295
4.961,74.41,2293
4.965,74.47,2290
4.969,74.53,2288
4.973,74.59,2286
4.977,74.65,2283
4.980,74.71,2280
4.984,74.77,2278
4.988,74.82,2276
4.992,74.88,2273
4.996,74.94,2270
5.000,75.00,2297
5.004,75.06,2300
5.008,75.12,2302
5.012,75.18,2305
5.016,75.23,2308
5.020,75.29,2310
5.023,75.35,2313
5.027,75.41,2315
5.031,75.47,2318
5.035,75.53,2321
5.039,75.59,2323
5.043,75.64,2326
5.047,75.70,2328
5.051,75.76,2330
5.055,75.82,2333
5.059,75.88,2335
5.063,75.94,2338
5.066,76.00,2340
5.070,76.05,2342
5.074,76.11,2345
5.078,76.17,2347
5.082,76.23,2349
5.086,76.29,2351
5.090,76.35,2354
5.094,76.41,2356
5.098,76.46,2358
5.102,76.52,2360
5.105,76.58,2362
5.109,76.64,2365
5.113,76.70,2367
5.117,76.76,2369
5.121,76.82,2371
5.125,76.88,2373
5.129,76.93,2375
5.133,76.99,2377
5.137,77.05,2379
5.141,77.11,2383
5.145,77.17,2383
5.148,77.23,2385
5.152,77.29,2387
5.156,77.34,2388
5.160,77.40,2390
5.164,77.46,2392
5.168,77.52,2394
5.172,77.58,2396
5.176,77.64,2398
5.180,77.70,2399
5.184,77.75,2401
5.188,77.81,2403
5.191,77.87,2405
5.195,77.93,2406
5.199,77.99,2408
5.203,78.05,2409
5.207,78.11,2411
5.211,78.16,2413
5.215,78.22,2414
5.219,78.28,2416
5.223,78.34,2417
5.227,78.40,2419
5.230,78.46,2420
5.234,78.52,2422
5.238,78.57,2423
5.242,78.63,2425
5.246,78.69,2426
5.250,78.75,2428
5.254,78.81,2429
5.258,78.87,2430
5.262,78.93,2432
5.266,78.98,2433
5.270,79.04,2434
5.273,79.10,2435
5.277,79.16,2437
5.281,79.22,2438
5.285,79.28,2439
5.289,79.34,2440
5.293,79.39,2441
5.297,79.45,2443
5.301,79.51,2444
5.305,79.57,2445
5.309,79.63,2446
5.313,79.69,2447
5.316,79.75,2448
5.320,79.80,2449
5.324,79.86,2450
5.328,79.92,2451
5.332,79.98,2452
5.336,80.04,2453
5.340,80.10,2454
5.344,80.16,2455
5.348,80.21,2456
5.352,80.27,2457
5.355,80.33,2457
5.359,80.39,2458
5.363,80.45,2459
5.367,80.51,2460
5.371,80.57,2460
5.375,80.63,2461
5.379,80.68,2462
5.383,80.74,2463
5.387,80.80,2463
5.391,80.86,2464
5.395,80.92,2465
5.398,80.98,2465
5.402,81.04,2466
5.406,81.09,2466
5.410,81.15,2467
5.414,81.21,2467
5.418,81.27,2468
5.422,81.33,2468
5.426,81.39,2469
5.430,81.45,2469
5.434,81.50,2470
5.438,81.56,2470
5.441,81.62,2471
5.445,81.68,2471
5.449,81.74,2471
5.453,81.80,2472
5.457,81.86,2472
5.461,81.91,2472
5.465,81.97,2473
5.469,82.03,2473
5.473,82.09,2473
5.477,82.15,2473
5.480,82.21,2473
5.484,82.27,2474
5.488,82.32,2474
5.492,82.38,2474
5.496,82.44,2474
5.500,82.50,2474
5.504,82.56,2474
5.508,82.62,2474
5.512,82.68,2474
5.516,82.73,2474
5.520,82.79,2474
5.523,82.85,2474
5.527,82.91,2474
5.531,82.97,2474
5.535,83.03,2474
5.539,83.09,2474
5.543,83.14,2474
5.547,83.20,2473
5.551,83.26,2473
5.555,83.32,2473
5.559,83.38,2473
5.563,83.44,2473
5.566,83.50,2472
5.570,83.55,2472
5.574,83.61,2472
5.578,83.67,2471
5.582,83.73,2471
5.586,83.79,2471
5.590,83.85,2470
5.594,83.91,2470
5.598,83.96,2470
5.602,84.02,2469
5.605,84.08,2469
5.609,84.14,2468
5.613,84.20,2468
5.617,84.26,2467
5.621,84.32,2467
5.625,84.38,2466
5.629,84.43,2465
5.633,84.49,2465
5.637,84.55,2464
5.641,84.61,2463
5.645,84.67,2463
5.648,84.73,2462
5.652,84.79,2461
5.656,84.84,2461
5.660,84.90,2460
5.664,84.96,2459
5.668,85.02,2458
5.672,85.08,2458
5.676,85.14,2457
5.680,85.20,2456
5.684,85.25,2455
5.688,85.31,2454
5.691,85.37,2453
5.695,85.43,2452
5.699,85.49,2451
5.703,85.55,2450
5.707,85.61,2449
5.711,85.66,2450
5.715,85.72,2447
5.719,85.78,2446
5.723,85.84,2445
5.727,85.90,2444
5.730,85.96,2443
5.734,86.02,2442
5.738,86.07,2441
5.742,86.13,2440
5.746,86.19,2438
5.750,86.25,2437
5.754,86.31,2436
5.758,86.37,2435
5.762,86.43,2433
5.766,86.48,2432
5.770,86.54,2431
5.773,86.60,2429
5.777,86.66,2428
5.781,86.72,2427
5.785,86.78,2425
5.789,86.84,2426
5.793,86.89,2423
5.797,86.95,2421
5.801,87.01,2419
5.805,87.07,2418
5.809,87.13,2416
5.813,87.19,2415
5.816,87.25,2413
5.820,87.30,2412
5.824,87.36,2410
5.828,87.42,2408
5.832,87.48,2407
5.836,87.54,2405
5.840,87.60,2404
5.844,87.66,2402
5.848,87.71,2400
5.852,87.77,2398
5.855,87.83,2397
5.859,87.89,2395
5.863,87.95,2393
5.867,88.01,2391
5.871,88.07,2389
5.875,88.13,2387
5.879,88.18,2385
5.883,88.24,2384
5.887,88.30,2382
5.891,88.36,2380
5.895,88.42,2378
5.898,88.48,2376
5.902,88.54,2374
5.906,88.59,2372
5.910,88.65,2369
5.914,88.71,2367
5.918,88.77,2365
5.922,88.83,2363
5.926,88.89,2361
5.930,88.95,2359
5.934,89.00,2357
5.938,89.06,2355
5.941,89.12,2352
5.945,89.18,2350
5.949,89.24,2348
5.953,89.30,2346
5.957,89.36,2343
5.961,89.41,2341
5.965,89.47,2339
5.969,89.53,2336
5.973,89.59,2334
5.977,89.65,2331
5.980,89.71,2329
5.984,89.77,2326
5.988,89.82,2324
5.992,89.88,2321
5.996,89.94,2319
6.000,90.00,2313
6.004,90.06,2315
6.008,90.12,2318
6.012,90.18,2321
6.016,90.23,2324
6.020,90.29,2326
6.023,90.35,2329
6.027,90.41,2332
6.031,90.47,2334
6.035,90.53,2337
6.039,90.59,2339
6.043,90.64,2342
6.047,90.70,2344
6.051,90.76,2347
6.055,90.82,2349
6.059,90.88,2352
6.063,90.94,2354
6.066,91.00,2357
6.070,91.05,2359
6.074,91.11,2362
6.078,91.17,2364
6.082,91.23,2366
6.086,91.29,2369
6.090,91.35,2371
6.094,91.41,2373
6.098,91.46,2375
6.102,91.52,2378
6.105,91.58,2380
6.109,91.64,2382
6.113,91.70,2384
6.117,91.76,2387
6.121,91.82,2389
6.125,91.88,2391
6.129,91.93,2393
6.133,91.99,2395
6.137,92.05,2397
6.141,92.11,2399
6.145,92.17,2401
6.148,92.23,2403
6.152,92.29,2405
6.156,92.34,2407
6.160,92.40,2409
6.164,92.46,2411
6.168,92.52,2413
6.172,92.58,2414
6.176,92.64,2416
6.180,92.70,2418
6.184,92.75,2420
6.188,92.81,2422
6.191,92.87,2424
6.195,92.93,2425
6.199,92.99,2427
6.203,93.05,2429
6.207,93.11,2430
6.211,93.16,2432
6.215,93.22,2434
6.219,93.28,2435
6.223,93.34,2437
6.227,93.40,2439
6.230,93.46,2440
6.234,93.52,2442
6.238,93.57,2443
6.242,93.63,2445
6.246,93.69,2446
6.250,93.75,2448
6.254,93.81,2449
6.258,93.87,2450
6.262,93.93,2452
6.266,93.98,2453
6.270,94.04,2455
6.273,94.10,2456
6.277,94.16,2457
6.281,94.22,2459
6.285,94.28,2460
6.289,94.34,2461
6.293,94.39,2462
6.297,94.45,2464
6.301,94.51,2465
6.305,94.57,2466
6.309,94.63,2467
6.313,94.69,2468
6.316,94.75,2469
6.320,94.80,2470
6.324,94.86,2471
6.328,94.92,2472
6.332,94.98,2473
6.336,95.04,2474
6.340,95.10,2475
6.344,95.16,2476
6.348,95.21,2477
6.352,95.27,2478
6.355,95.33,2479
6.359,95.39,2480
6.363,95.45,2481
6.367,95.51,2482
6.371,95.57,2483
6.375,95.63,2483
6.379,95.68,2484
6.383,95.74,2485
6.387,95.80,2486
6.391,95.86,2486
6.395,95.92,2487
6.398,95.98,2488
6.402,96.04,2489
6.406,96.09,2489
6.410,96.15,2490
6.414,96.21,2490
6.418,96.27,2491
6.422,96.33,2491
6.426,96.39,2492
6.430,96.45,2493
6.434,96.50,2493
6.438,96.56,2493
6.441,96.62,2494
6.445,96.68,2494
6.449,96.74,2495
6.453,96.80,2495
6.457,96.86,2496
6.461,96.91,2496
6.465,96.97,2496
6.469,97.03,2497
6.473,97.09,2497
6.477,97.15,2497
6.480,97.21,2497
6.484,97.27,2498
6.488,97.32,2498
6.492,97.38,2498
6.496,97.44,2498
6.500,97.50,2498
6.504,97.56,2498
6.508,97.62,2499
6.512,97.68,2499
6.516,97.73,2499
6.520,97.79,2499
6.523,97.85,2499
6.527,97.91,2499
6.531,97.97,2499
6.535,98.03,2499
6.539,98.09,2499
6.543,98.14,2499
6.547,98.20,2499
6.551,98.26,2499
6.555,98.32,2498
6.559,98.38,2498
6.563,98.44,2498
6.566,98.50,2498
6.570,98.55,2498
6.574,98.61,2497
6.578,98.67,2497
6.582,98.73,2497
6.586,98.79,2497
6.590,98.85,2496
6.594,98.91,2496
6.598,98.96,2496
6.602,99.02,2495
6.605,99.08,2495
6.609,99.14,2494
6.613,99.20,2494
6.617,99.26,2493
6.621,99.32,2493
6.625,99.38,2493
6.629,99.43,2492
6.633,99.49,2491
6.637,99.55,2491
6.641,99.61,2490
6.645,99.67,2490
6.648,99.73,2489
6.652,99.79,2488
6.656,99.84,2488
6.660,99.90,2487
6.664,99.96,2486
6.668,100.02,2486
6.672,100.08,2485
6.676,100.14,2484
6.680,100.20,2483
6.684,100.25,2483
6.688,100.31,2482
6.691,100.37,2481
6.695,100.43,2480
6.699,100.49,2479
6.703,100.55,2478
6.707,100.61,2477
6.711,100.66,2476
6.715,100.72,2475
6.719,100.78,2474
6.723,100.84,2473
6.727,100.90,2472
6.730,100.96,2472
6.734,101.02,2470
6.738,101.07,2469
6.742,101.13,2468
6.746,101.19,2467
6.750,101.25,2466
6.754,101.31,2465
6.758,101.37,2463
6.762,101.43,2462
6.766,101.48,2461
6.770,101.54,2460
6.773,101.60,2459
6.777,101.66,2457
6.781,101.72,2456
6.785,101.78,2455
6.789,101.84,2453
6.793,101.89,2452
6.797,101.95,2450
6.801,102.01,2449
6.805,102.07,2448
6.809,102.13,2446
6.813,102.19,2445
6.816,102.25,2443
6.820,102.30,2442
6.824,102.36,2440
6.828,102.42,2439
6.832,102.48,2437
6.836,102.54,2435
6.840,102.60,2434
6.844,102.66,2432
6.848,102.71,2430
6.852,102.77,2429
6.855,102.83,2427
6.859,102.89,2425
6.863,102.95,2424
6.867,103.01,2422
6.871,103.07,2420
6.875,103.13,2418
6.879,103.18,2416
6.883,103.24,2415
6.887,103.30,2413
6.891,103.36,2411
6.895,103.42,2409
6.898,103.48,2407
6.902,103.54,2405
6.906,103.59,2403
6.910,103.65,2401
6.914,103.71,2399
6.918,103.77,2397
6.922,103.83,2395
6.926,103.89,2393
6.930,103.95,2391
6.934,104.00,2389
6.938,104.06,2387
6.941,104.12,2384
6.945,104.18,2382
6.949,104.24,2380
6.953,104.30,2378
6.957,104.36,2375
6.961,104.41,2373
6.965,104.47,2371
6.969,104.53,2369
6.973,104.59,2366
6.977,104.65,2364
6.980,104.71,2362
6.984,104.77,2359
6.988,104.82,2357
6.992,104.88,2354
6.996,104.94,2352
7.000,105.00,2310
7.004,105.06,2312
7.008,105.12,2315
7.012,105.18,2318
7.016,105.23,2321
7.020,105.29,2323
7.023,105.35,2326
7.027,105.41,2329
7.031,105.47,2332
7.035,105.53,2334
7.039,105.59,2337
7.043,105.64,2340
7.047,105.70,2342
7.051,105.76,2345
7.055,105.82,2347
7.059,105.88,2350
7.063,105.94,2352
7.066,106.00,2355
7.070,106.05,2357
7.074,106.11,2360
7.078,106.17,2362
7.082,106.23,2365
7.086,106.29,2367
7.090,106.35,2369
7.094,106.41,2372
7.098,106.46,2374
7.102,106.52,2376
7.105,106.58,2379
7.109,106.64,2381
7.113,106.70,2383
7.117,106.76,2385
7.121,106.82,2388
7.125,106.88,2390
7.129,106.93,2392
7.133,106.99,2394
7.137,107.05,2396
7.141,107.11,2398
7.145,107.17,2401
7.148,107.23,2403
7.152,107.29,2405
7.156,107.34,2407
7.160,107.40,2409
7.164,107.46,2411
7.168,107.52,2413
7.172,107.58,2415
7.176,107.64,2417
7.180,107.70,2418
7.184,107.75,2420
7.188,107.81,2422
7.191,107.87,2424
7.195,107.93,2426
7.199,107.99,2428
7.203,108.05,2429
7.207,108.11,2431
7.211,108.16,2433
7.215,108.22,2435
7.219,108.28,2436
7.223,108.34,2438
7.227,108.40,2440
7.230,108.46,2441
7.234,108.52,2443
7.238,108.57,2444
7.242,108.63,2446
7.246,108.69,2448
7.250,108.75,2449
7.254,108.81,2451
7.258,108.87,2452
7.262,108.93,2454
7.266,108.98,2455
7.270,109.04,2456
7.273,109.10,2458
7.277,109.16,2459
7.281,109.22,2461
7.285,109.28,2462
7.289,109.34,2463
7.293,109.39,2465
7.297,109.45,2466
7.301,109.51,2467
7.305,109.57,2468
7.309,109.63,2470
7.313,109.69,2471
7.316,109.75,2472
7.320,109.80,2473
7.324,109.86,2474
7.328,109.92,2475
7.332,109.98,2476
7.336,110.04,2478
7.340,110.10,2479
7.344,110.16,2480
7.348,110.21,2481
7.352,110.27,2482
7.355,110.33,2483
7.359,110.39,2484
7.363,110.45,2485
7.367,110.51,2485
7.371,110.57,2486
7.375,110.63,2487
7.379,110.68,2488
7.383,110.74,2489
7.387,110.80,2490
7.391,110.86,2490
7.395,110.92,2491
7.398,110.98,2492
7.402,111.04,2493
7.406,111.09,2494
7.410,111.15,2494
7.414,111.21,2495
7.418,111.27,2496
7.422,111.33,2496
7.426,111.39,2497
7.430,111.45,2497
7.434,111.50,2498
7.438,111.56,2498
7.441,111.62,2499
7.445,111.68,2500
7.449,111.74,2500
7.453,111.80,2500
7.457,111.86,2501
7.461,111.91,2501
7.465,111.97,2502
7.469,112.03,2502
7.473,112.09,2502
7.477,112.15,2503
7.480,112.21,2503
7.484,112.27,2503
7.488,112.32,2504
7.492,112.38,2504
7.496,112.44,2504
7.500,112.50,2504
7.504,112.56,2505
7.508,112.62,2505
7.512,112.68,2505
7.516,112.73,2505
7.520,112.79,2505
7.523,112.85,2505
7.527,112.91,2506
7.531,112.97,2506
7.535,113.03,2506
7.539,113.09,2506
7.543,113.14,2506
7.547,113.20,2506
7.551,113.26,2506
7.555,113.32,2505
7.559,113.38,2505
7.563,113.44,2505
7.566,113.50,2505
7.570,113.55,2505
7.574,113.61,2505
7.578,113.67,2505
7.582,113.73,2505
7.586,113.79,2504
7.590,113.85,2504
7.594,113.91,2504
7.598,113.96,2503
7.602,114.02,2503
7.605,114.08,2503
7.609,114.14,2503
7.613,114.20,2502
7.617,114.26,2502
7.621,114.32,2501
7.625,114.38,2501
7.629,114.43,2501
7.633,114.49,2502
7.637,114.55,2500
7.641,114.61,2499
7.645,114.67,2499
7.648,114.73,2498
7.652,114.79,2497
7.656,114.84,2497
7.660,114.90,2496
7.664,114.96,2496
7.668,115.02,2495
7.672,115.08,2494
7.676,115.14,2494
7.680,115.20,2493
7.684,115.25,2492
7.688,115.31,2492
7.691,115.37,2491
7.695,115.43,2490
7.699,115.49,2489
7.703,115.55,2488
7.707,115.61,2487
7.711,115.66,2486
7.715,115.72,2486
7.719,115.78,2485
7.723,115.84,2484
7.727,115.90,2483
7.730,115.96,2482
7.734,116.02,2481
7.738,116.07,2480
7.742,116.13,2479
7.746,116.19,2478
7.750,116.25,2477
7.754,116.31,2475
7.758,116.37,2474
7.762,116.43,2473
7.766,116.48,2472
7.770,116.54,2471
7.773,116.60,2470
7.777,116.66,2468
7.781,116.72,2467
7.785,116.78,2466
7.789,116.84,2465
7.793,116.89,2463
7.797,116.95,2462
7.801,117.01,2461
7.805,117.07,2459
7.809,117.13,2458
7.813,117.19,2457
7.816,117.25,2455
7.820,117.30,2454
7.824,117.36,2452
7.828,117.42,2451
7.832,117.48,2449
7.836,117.54,2448
7.840,117.60,2446
7.844,117.66,2445
7.848,117.71,2443
7.852,117.77,2441
7.855,117.83,2440
7.859,117.89,2438
7.863,117.95,2436
7.867,118.01,2435
7.871,118.07,2433
7.875,118.13,2431
7.879,118.18,2429
7.883,118.24,2428
7.887,118.30,2426
7.891,118.36,2424
7.895,118.42,2422
7.898,118.48,2420
7.902,118.54,2418
7.906,118.59,2417
7.910,118.65,2415
7.914,118.71,2413
7.918,118.77,2411
7.922,118.83,2409
7.926,118.89,2407
7.930,118.95,2405
7.934,119.00,2403
7.938,119.06,2401
7.941,119.12,2399
7.945,119.18,2397
7.949,119.24,2394
7.953,119.30,2392
7.957,119.36,2390
7.961,119.41,2388
7.965,119.47,2386
7.969,119.53,2383
7.973,119.59,2381
7.977,119.65,2379
7.980,119.71,2377
7.984,119.77,2374
7.988,119.82,2372
7.992,119.88,2370
7.996,119.94,2367
8.000,120.00,2288
8.004,120.06,2291
8.008,120.12,2294
8.012,120.18,2296
8.016,120.23,2299
8.020,120.29,2302
8.023,120.35,2305
8.027,120.41,2308
8.031,120.47,2310
8.035,120.53,2313
8.039,120.59,2316
8.043,120.64,2319
8.047,120.70,2321
8.051,120.76,2324
8.055,120.82,2327
8.059,120.88,2329
8.063,120.94,2332
8.066,121.00,2334
8.070,121.05,2337
8.074,121.11,2339
8.078,121.17,2342
8.082,121.23,2344
8.086,121.29,2347
8.090,121.35,2349
8.094,121.41,2352
8.098,121.46,2354
8.102,121.52,2357
8.105,121.58,2359
8.109,121.64,2361
8.113,121.70,2364
8.117,121.76,2366
8.121,121.82,2368
8.125,121.88,2370
8.129,121.93,2373
8.133,121.99,2375
8.137,122.05,2377
8.141,122.11,2379
8.145,122.17,2381
8.148,122.23,2384
8.152,122.29,2386
8.156,122.34,2388
8.160,122.40,2390
8.164,122.46,2392
8.168,122.52,2394
8.172,122.58,2396
8.176,122.64,2398
8.180,122.70,2400
8.184,122.75,2402
8.188,122.81,2404
8.191,122.87,2406
8.195,122.93,2408
8.199,122.99,2409
8.203,123.05,2411
8.207,123.11,2413
8.211,123.16,2415
8.215,123.22,2417
8.219,123.28,2419
8.223,123.34,2420
8.227,123.40,2422
8.230,123.46,2424
8.234,123.52,2425
8.238,123.57,2427
8.242,123.63,2429
8.246,123.69,2430
8.250,123.75,2432
8.254,123.81,2434
8.258,123.87,2435
8.262,123.93,2437
8.266,123.98,2438
8.270,124.04,2440
8.273,124.10,2441
8.277,124.16,2443
8.281,124.22,2444
8.285,124.28,2445
8.289,124.34,2447
8.293,124.39,2448
8.297,124.45,2450
8.301,124.51,2452
8.305,124.57,2452
8.309,124.63,2453
8.313,124.69,2455
8.316,124.75,2456
8.320,124.80,2457
8.324,124.86,2458
8.328,124.92,2460
8.332,124.98,2461
8.336,125.04,2462
8.340,125.10,2463
8.344,125.16,2464
8.348,125.21,2465
8.352,125.27,2466
8.355,125.33,2467
8.359,125.39,2468
8.363,125.45,2469
8.367,125.51,2470
8.371,125.57,2471
8.375,125.63,2472
8.379,125.68,2473
8.383,125.74,2474
8.387,125.80,2475
8.391,125.86,2476
8.395,125.92,2477
8.398,125.98,2478
8.402,126.04,2478
8.406,126.09,2479
8.410,126.15,2480
8.414,126.21,2481
8.418,126.27,2481
8.422,126.33,2482
8.426,126.39,2483
8.430,126.45,2483
8.434,126.50,2484
8.438,126.56,2485
8.441,126.62,2485
8.445,126.68,2486
8.449,126.74,2486
8.453,126.80,2487
8.457,126.86,2487
8.461,126.91,2488
8.465,126.97,2488
8.469,127.03,2489
8.473,127.09,2489
8.477,127.15,2490
8.480,127.21,2490
8.484,127.27,2491
8.488,127.32,2491
8.492,127.38,2491
8.496,127.44,2492
8.500,127.50,2492
8.504,127.56,2492
8.508,127.62,2493
8.512,127.68,2493
8.516,127.73,2493
8.520,127.79,2493
8.523,127.85,2493
8.527,127.91,2493
8.531,127.97,2493
8.535,128.03,2494
8.539,128.09,2494
8.543,128.14,2494
8.547,128.20,2494
8.551,128.26,2494
8.555,128.32,2494
8.559,128.38,2494
8.563,128.44,2494
8.566,128.50,2494
8.570,128.55,2494
8.574,128.61,2494
8.578,128.67,2493
8.582,128.73,2493
8.586,128.79,2493
8.590,128.85,2493
8.594,128.91,2493
8.598,128.96,2493
8.602,129.02,2492
8.605,129.08,2492
8.609,129.14,2492
8.613,129.20,2492
8.617,129.26,2491
8.621,129.32,2491
8.625,129.38,2491
8.629,129.43,2490
8.633,129.49,2490
8.637,129.55,2489
8.641,129.61,2489
8.645,129.67,2488
8.648,129.73,2488
8.652,129.79,2487
8.656,129.84,2487
8.660,129.90,2486
8.664,129.96,2486
8.668,130.02,2485
8.672,130.08,2485
8.676,130.14,2484
8.680,130.20,2483
8.684,130.25,2483
8.688,130.31,2482
8.691,130.37,2481
8.695,130.43,2481
8.699,130.49,2480
8.703,130.55,2479
8.707,130.61,2478
8.711,130.66,2477
8.715,130.72,2477
8.719,130.78,2476
8.723,130.84,2475
8.727,130.90,2474
8.730,130.96,2473
8.734,131.02,2472
8.738,131.07,2471
8.742,131.13,2470
8.746,131.19,2469
8.750,131.25,2468
8.754,131.31,2467
8.758,131.37,2466
8.762,131.43,2465
8.766,131.48,2464
8.770,131.54,2463
8.773,131.60,2462
8.777,131.66,2461
8.781,131.72,2460
8.785,131.78,2458
8.789,131.84,2457
8.793,131.89,2456
8.797,131.95,2455
8.801,132.01,2453
8.805,132.07,2452
8.809,132.13,2451
8.813,132.19,2449
8.816,132.25,2448
8.820,132.30,2447
8.824,132.36,2445
8.828,132.42,2444
8.832,132.48,2443
8.836,132.54,2441
8.840,132.60,2440
8.844,132.66,2438
8.848,132.71,2437
8.852,132.77,2435
8.855,132.83,2433
8.859,132.89,2432
8.863,132.95,2430
8.867,133.01,2429
8.871,133.07,2427
8.875,133.13,2425
8.879,133.18,2424
8.883,133.24,2422
8.887,133.30,2420
8.891,133.36,2418
8.895,133.42,2417
8.898,133.48,2415
8.902,133.54,2413
8.906,133.59,2411
8.910,133.65,2409
8.914,133.71,2408
8.918,133.77,2406
8.922,133.83,2404
8.926,133.89,2402
8.930,133.95,2400
8.934,134.00,2398
8.938,134.06,2396
8.941,134.12,2394
8.945,134.18,2392
8.949,134.24,2390
8.953,134.30,2388
8.957,134.36,2386
8.961,134.41,2384
8.965,134.47,2381
8.969,134.53,2379
8.973,134.59,2377
8.977,134.65,2375
8.980,134.71,2373
8.984,134.77,2370
8.988,134.82,2368
8.992,134.88,2366
8.996,134.94,2364
9.000,135.00,2248
9.004,135.06,2251
9.008,135.12,2254
9.012,135.18,2257
9.016,135.23,2260
9.020,135.29,2263
9.023,135.35,2266
9.027,135.41,2269
9.031,135.47,2272
9.035,135.53,2274
9.039,135.59,2277
9.043,135.64,2280
9.047,135.70,2283
9.051,135.76,2286
9.055,135.82,2288
9.059,135.88,2291
9.063,135.94,2294
9.066,136.00,2296
9.070,136.05,2299
9.074,136.11,2301
9.078,136.17,2304
9.082,136.23,2307
9.086,136.29,2309
9.090,136.35,2312
9.094,136.41,2314
9.098,136.46,2316
9.102,136.52,2319
9.105,136.58,2321
9.109,136.64,2324
9.113,136.70,2326
9.117,136.76,2329
9.121,136.82,2331
9.125,136.88,2333
9.129,136.93,2336
9.133,136.99,2338
9.137,137.05,2340
9.141,137.11,2342
9.145,137.17,2345
9.148,137.23,2347
9.152,137.29,2349
9.156,137.34,2351
9.160,137.40,2353
9.164,137.46,2355
9.168,137.52,2358
9.172,137.58,2360
9.176,137.64,2362
9.180,137.70,2364
9.184,137.75,2366
9.188,137.81,2368
9.191,137.87,2370
9.195,137.93,2372
9.199,137.99,2374
9.203,138.05,2375
9.207,138.11,2377
9.211,138.16,2379
9.215,138.22,2381
9.219,138.28,2383
9.223,138.34,2385
9.227,138.40,2387
9.230,138.46,2388
9.234,138.52,2390
9.238,138.57,2392
9.242,138.63,2394
9.246,138.69,2395
9.250,138.75,2397
9.254,138.81,2398
9.258,138.87,2400
9.262,138.93,2402
9.266,138.98,2403
9.270,139.04,2405
9.273,139.10,2406
9.277,139.16,2408
9.281,139.22,2409
9.285,139.28,2411
9.289,139.34,2412
9.293,139.39,2414
9.297,139.45,2415
9.301,139.51,2417
9.305,139.57,2418
9.309,139.63,2419
9.313,139.69,2421
9.316,139.75,2422
9.320,139.80,2423
9.324,139.86,2425
9.328,139.92,2426
9.332,139.98,2427
9.336,140.04,2428
9.340,140.10,2430
9.344,140.16,2431
9.348,140.21,2432
9.352,140.27,2433
9.355,140.33,2434
9.359,140.39,2435
9.363,140.45,2436
9.367,140.51,2437
9.371,140.57,2438
9.375,140.63,2439
9.379,140.68,2440
9.383,140.74,2441
9.387,140.80,2442
9.391,140.86,2443
9.395,140.92,2444
9.398,140.98,2445
9.402,141.04,2446
9.406,141.09,2447
9.410,141.15,2448
9.414,141.21,2448
9.418,141.27,2449
9.422,141.33,2450
9.426,141.39,2451
9.430,141.45,2451
9.434,141.50,2452
9.438,141.56,2453
9.441,141.62,2453
9.445,141.68,2454
9.449,141.74,2455
9.453,141.80,2455
9.457,141.86,2456
9.461,141.91,2456
9.465,141.97,2457
9.469,142.03,2458
9.473,142.09,2458
9.477,142.15,2459
9.480,142.21,2459
9.484,142.27,2459
9.488,142.32,2460
9.492,142.38,2460
9.496,142.44,2461
9.500,142.50,2461
9.504,142.56,2461
9.508,142.62,2462
9.512,142.68,2462
9.516,142.73,2462
9.520,142.79,2463
9.523,142.85,2463
9.527,142.91,2463
9.531,142.97,2463
9.535,143.03,2463
9.539,143.09,2464
9.543,143.14,2464
9.547,143.20,2464
9.551,143.26,2464
9.555,143.32,2464
9.559,143.38,2464
9.563,143.44,2464
9.566,143.50,2464
9.570,143.55,2464
9.574,143.61,2464
9.578,143.67,2464
9.582,143.73,2464
9.586,143.79,2464
9.590,143.85,2464
9.594,143.91,2464
9.598,143.96,2463
9.602,144.02,2463
9.605,144.08,2463
9.609,144.14,2463
9.613,144.20,2463
9.617,144.26,2462
9.621,144.32,2462
9.625,144.38,2462
9.629,144.43,2462
9.633,144.49,2461
9.637,144.55,2461
9.641,144.61,2461
9.645,144.67,2460
9.648,144.73,2460
9.652,144.79,2459
9.656,144.84,2459
9.660,144.90,2458
9.664,144.96,2458
9.668,145.02,2457
9.672,145.08,2457
9.676,145.14,2456
9.680,145.20,2456
9.684,145.25,2455
9.688,145.31,2454
9.691,145.37,2454
9.695,145.43,2453
9.699,145.49,2452
9.703,145.55,2452
9.707,145.61,2451
9.711,145.66,2450
9.715,145.72,2450
9.719,145.78,2449
9.723,145.84,2448
9.727,145.90,2447
9.730,145.96,2446
9.734,146.02,2446
9.738,146.07,2445
9.742,146.13,2444
9.746,146.19,2443
9.750,146.25,2442
9.754,146.31,2441
9.758,146.37,2440
9.762,146.43,2439
9.766,146.48,2438
9.770,146.54,2437
9.773,146.60,2436
9.777,146.66,2435
9.781,146.72,2434
9.785,146.78,2432
9.789,146.84,2431
9.793,146.89,2430
9.797,146.95,2429
9.801,147.01,2428
9.805,147.07,2427
9.809,147.13,2425
9.813,147.19,2424
9.816,147.25,2423
9.820,147.30,2421
9.824,147.36,2420
9.828,147.42,2419
9.832,147.48,2418
9.836,147.54,2416
9.840,147.60,2414
9.844,147.66,2413
9.848,147.71,2412
9.852,147.77,2410
9.855,147.83,2409
9.859,147.89,2407
9.863,147.95,2406
9.867,148.01,2404
9.871,148.07,2403
9.875,148.13,2401
9.879,148.18,2399
9.883,148.24,2398
9.887,148.30,2396
9.891,148.36,2394
9.895,148.42,2393
9.898,148.48,2391
